Ensembl	Entrez	Symbol	CCs_Hep3B	CCs_Huh7	CCs_PLC-PRF-5	CSCs_Hep3B	CSCs_Huh7	CSCs_PLC-PRF-5
ENSG00000000003	7105	TSPAN6	8.5849218179837	8.90234523315733	8.08147767521053	8.58149763364807	8.92165363371803	7.70639933540843
ENSG00000000005	64102	TNMD	3.68452987072485	3.64324158260325	3.44279733131845	3.66029061966681	3.54205989110694	3.5974812440498
ENSG00000000419	8813	DPM1	9.66651701819928	9.91725088264579	10.2112044589143	9.52156522900005	9.87669212868398	10.2171154217176
ENSG00000000457	57147	SCYL3	7.51279532162389	7.11074568681665	6.80737343739376	7.28274678192902	7.11310012155723	6.59798523415949
ENSG00000000460	55732	C1orf112	6.91967859148409	6.87172868032509	6.70435675742945	7.25015377448098	7.14105718904573	6.84672261338351
ENSG00000000938	2268	FGR	4.67122301820383	4.78240238544681	4.77828465512295	5.16323331996291	4.65837328535834	4.83086297552099
ENSG00000000971	3075	CFH	4.21454432068922	8.52229936398663	7.41304201682511	4.20570486180191	8.54435524459528	7.33881273801155
ENSG00000001036	2519	FUCA2	9.16123082427372	9.34953393538106	9.90413679539666	9.28607518451535	9.36210557326963	9.95409172979794
ENSG00000001084	2729	GCLC	5.44846293892873	5.65773961773824	5.97652406116888	5.41359645230385	5.91445086637499	5.73021307566581
ENSG00000001167	4800	NFYA	10.0535838035084	9.15472734126896	8.08722122085504	9.9977548830227	9.01634423099642	7.9873164595004
ENSG00000001460	90529	STPG1	4.97319640922781	4.96596145415671	5.73503070213777	4.36253609102446	4.74325823465969	5.95175013134729
ENSG00000001461	57185	NIPAL3	5.41503012869994	5.15794747702783	5.45289014060842	5.44749242839795	5.31991550887622	5.57188803171841
ENSG00000001497	81887	LAS1L	6.18773413294398	7.17788816057224	7.28236706704235	6.45861806717963	6.95455776797877	7.41651428545106
ENSG00000001561	22875	ENPP4	6.32331326703994	5.28349878217845	6.77623715401888	6.33002389807757	5.57176436333335	6.9936809635924
ENSG00000001617	6405	SEMA3F	5.56298468381884	5.56358225275439	5.27684305980326	5.94903013980867	5.4164456831831	5.19836514625221
ENSG00000001626	1080	CFTR	3.46619533200987	3.68264219401931	7.33803358342048	3.95603827871443	4.4097296030573	7.97354727895864
ENSG00000001629	54467	ANKIB1	8.16541096833733	8.45706256948346	8.95641143797394	7.86286009160686	8.573781570645	9.05820393731379
ENSG00000001630	1595	CYP51A1	9.25810381556216	9.94788051803391	9.35032534845072	8.84752551608791	9.94674506494861	9.4098320266213
ENSG00000001631	889	KRIT1	7.22637753953399	7.82866346769408	7.89507318844435	7.23105526758643	7.82259508888607	7.7242947257201
ENSG00000002016	5893	RAD52	5.66669967958921	6.03516590961167	5.57401061290421	5.58540914785257	5.79328349786099	5.63553532482205
ENSG00000002330	572	BAD	5.96572540100618	5.75946794558553	6.64709429214948	6.5734828007799	5.53045057146974	6.8424344064779
ENSG00000002549	51056	LAP3	7.20195758197675	7.74944612589491	7.11762406590992	7.27385811562803	7.83686219871277	7.11621426342067
ENSG00000002586	4267	CD99	8.86678051917414	9.17751713415113	9.96198275844334	8.71306366122589	9.31197961062079	10.2785982465072
ENSG00000002587	9957	HS3ST1	5.10029573657781	5.02808143717687	4.71582099079091	4.95213429459465	4.85429573741902	4.71331280663606
ENSG00000002726	26	AOC1	3.32259903296876	3.64748194562254	3.71465654276435	3.8680752641823	3.57491282275821	3.43314062509458
ENSG00000002745	51384	WNT16	3.84119170159359	4.07348695799109	3.96638965814514	4.15847535492078	4.16574713099589	3.83726277996435
ENSG00000002746	23072	HECW1	4.25129613096491	5.07414963720352	4.05887990178838	4.6836830672564	5.26781941493381	4.10098051744148
ENSG00000002822	8379	MAD1L1	7.18805244401918	6.47562570411703	6.10525011899767	7.43619766499647	6.42323845699978	6.26196220314865
ENSG00000002834	3927	LASP1	10.0077842891717	9.32187413277236	9.40244515129167	10.034599055411	9.51961327084485	9.43160495968322
ENSG00000002919	29916	SNX11	6.7612494838676	6.55374350212602	6.65261389483936	6.98190818238627	6.64788271505518	6.63424861932252
ENSG00000002933	55365	TMEM176A	4.44596704589062	5.03168204884062	4.36316509031274	4.58675419022749	5.00738949915334	4.44292969111013
