Ensembl	Entrez	Symbol	CCs_1	CCs_2	CCs_3	CSCs_1	CSCs_2	CSCs_3
ENSG00000000419	8813	DPM1	7.31624912152439	8.37485661030358	7.69442915288648	7.6398431195105	7.72215246753168	7.67179146053032
ENSG00000000457	57147	SCYL3	5.34325716461368	4.23352142666192	4.27590677552662	5.27479204975613	4.55773074300261	4.55773074300261
ENSG00000001084	2729	GCLC	5.19526207080563	5.98546290023734	5.57294097585928	5.66299443255889	6.16590406439452	5.80413861218884
ENSG00000001167	4800	NFYA	5.89471745065438	5.99909518662033	5.48252470516404	6.3857081480503	5.23729885000975	4.79599709182956
ENSG00000001561	22875	ENPP4	4.01966486052646	5.74439552871733	3.80338829352944	4.58263622164773	4.0280132421178	3.94594924259541
ENSG00000001617	6405	SEMA3F	3.31581040134041	3.40429497647569	3.38876609485204	3.67392388474678	3.50849561808436	3.28799065562916
ENSG00000001626	1080	CFTR	3.79709283878246	3.65382499443205	3.68781797300584	3.72411900908927	4.00544368847807	3.945285474497
ENSG00000001630	1595	CYP51A1	5.66692698654428	5.9691081744055	5.55721916966199	6.97450634854607	5.01477856782535	5.34914391743127
ENSG00000002016	5893	RAD52	4.1148487865132	3.41397653885738	3.75431223506553	3.95854573180461	3.89909062407704	3.79604995143766
ENSG00000002330	572	BAD	4.86484883779861	5.32208170360246	4.92646547372169	4.83604744479525	4.93528679546848	5.30849394558142
ENSG00000002586	4267	CD99	9.84777247495422	10.9355581657681	11.4441394122695	8.46325268129924	11.572677687392	11.5658289565924
ENSG00000002587	9957	HS3ST1	3.71019554448483	3.53433918978651	3.59535296113824	3.61780985837127	3.76368555668882	3.6641336929749
ENSG00000002726	26	AOC1	3.50959082114155	3.6358726845314	3.48865471693559	3.32894543798171	3.5522882647204	3.42334177886497
ENSG00000002822	8379	MAD1L1	4.56109771108267	4.80497918589592	4.73756616400611	4.98259881558667	4.52588122097811	4.56131699343058
ENSG00000002834	3927	LASP1	8.2984564606944	8.69169775969927	8.45555212951114	8.09807218373005	8.98379740953234	9.04185941835216
ENSG00000003056	4074	M6PR	8.54081463392146	8.33041522979356	8.4766709115226	8.09783499212606	8.1085359860786	8.20595333599443
ENSG00000003147	3382	ICA1	4.14969266527374	4.33598040819748	4.25586127695639	4.18317153888566	4.37412535775811	4.21014891803391
ENSG00000003400	843	CASP10	4.74249631467141	5.5887157420728	5.21591382234746	5.07289511955828	5.95031260022126	6.11438470661824
ENSG00000003756	10181	RBM5	8.69031788934605	8.08497259539673	8.02231955411905	8.72243528058124	8.84467877741004	8.65469495821294
ENSG00000003989	6542	SLC7A2	3.41188101490443	3.17295100755209	3.21576929721898	3.42794713598245	3.3211529794375	3.38866959847915
ENSG00000004059	381	ARF5	7.62052242763359	7.5634322396435	7.84304568010304	7.4740255505875	8.01546833974531	7.99556768368828
ENSG00000004455	204	AK2	7.47785723360785	6.35221644036031	7.05902240921377	6.81346243364607	6.83669800980791	6.94517354483101
ENSG00000004468	952	CD38	5.31059989359657	3.91122572734528	5.46572816094776	4.19447607113346	3.94328348879769	4.41977716351969
ENSG00000004478	2288	FKBP4	6.3893023617445	5.77687559561703	5.61384409785026	6.3914742764824	5.79424664102994	5.89537570752256
ENSG00000004534	10180	RBM6	7.03220350558412	6.98822304377597	6.98686619774415	7.12913601819164	7.00634332020545	6.93945006276828
ENSG00000004766	55610	VPS50	3.3762624216115	3.21756050253085	3.26373126636414	3.50281114439102	3.51408818937029	3.23457797215664
ENSG00000004779	4706	NDUFAB1	8.74979208500868	8.77394314528833	9.48630093693882	8.41957728653154	8.86074900348909	8.95872345266529
ENSG00000004799	5166	PDK4	3.68019946630413	3.74957112091132	3.46983617563657	3.61208855630923	3.92034574752255	3.67195982411351
ENSG00000004864	10165	SLC25A13	4.53700384427218	4.4653063898582	4.80870555214624	4.86505444838646	3.97948601099655	4.19660527416282
ENSG00000004866	7982	ST7	3.52624348625469	3.6417788800953	3.91528996041093	3.89484104805279	3.5845159890125	3.89466785858291
ENSG00000004939	6521	SLC4A1	4.16361214743963	4.26527965448131	4.6092068678604	4.59249660586054	4.53829709769435	4.30646521391013
ENSG00000004961	3052	HCCS	4.69540423216371	5.87326650864674	4.87137304314567	4.59407904709388	5.83629685344538	5.23438760955967
ENSG00000005001	64063	PRSS22	5.0445892504261	4.68730699293878	4.89686932554533	5.20285035465954	5.38099636192313	5.49500029616422
ENSG00000005020	8935	SKAP2	6.42903204122152	6.54917424628294	6.53892467121626	7.05683567545129	6.50606350453042	6.42099422415721
ENSG00000005022	292	SLC25A5	10.95922150576	10.6995095114452	10.7701800597169	10.588272481704	10.402262524342	10.5156650629465
ENSG00000005102	4222	MEOX1	3.50258705427319	3.4615057868239	3.55052704034767	3.61035193363809	3.62672269095721	3.6054035564216
ENSG00000005156	3980	LIG3	4.97865631634984	4.62270943355447	4.61131152605604	4.81863729171228	4.59608580540671	4.59040747874334
ENSG00000005187	6296	ACSM3	4.7030903090839	3.91588683145783	5.20616893940724	6.18197031400216	3.54296779184622	3.84883889665586
