#Transcript position	Transcript coverage profile
0.0	197318.72786778936
1.0	210996.95951160698
2.0	225238.4370878463
3.0	237208.37275932918
4.0	248907.1142094791
5.0	259097.47132008697
6.0	267573.1401345205
7.0	274788.331721104
8.0	281376.9565034806
9.0	287862.74516950035
10.0	292257.4813668757
11.0	294577.1910900383
12.0	297266.9620413022
13.0	300553.3516241531
14.0	301359.8943062056
15.0	303714.3521526558
16.0	304853.1791105928
17.0	306318.9483347797
18.0	307864.58661334444
19.0	308142.31381958496
20.0	310054.43789215817
21.0	310000.8716618065
22.0	309820.10241778975
23.0	309835.9111331049
24.0	310355.9072021759
25.0	310591.43621725496
26.0	311165.0711306916
27.0	310540.80089667975
28.0	309542.60805957456
29.0	308874.90057734534
30.0	308015.2114083552
31.0	307346.5646438463
32.0	306803.9344205209
33.0	305284.96790417185
34.0	304461.4424901435
35.0	304172.1771662439
36.0	304186.3530740583
37.0	303893.9806612348
38.0	304169.0397897476
39.0	305003.1496779145
40.0	306342.97589770047
41.0	305762.63713754
42.0	305139.899703254
43.0	305237.5517589692
44.0	304715.8531745719
45.0	304632.70291417465
46.0	304459.07722689013
47.0	303706.8974203069
48.0	303505.1138872585
49.0	303681.61646089464
50.0	302946.0797595807
51.0	303267.5550176106
52.0	302219.9080572154
53.0	301245.2543046303
54.0	301071.04664044897
55.0	300288.443425594
56.0	298527.4147132438
57.0	296999.0372012763
58.0	296373.3811484457
59.0	296349.3403820278
60.0	295658.7654334213
61.0	295441.9336034079
62.0	296240.9482591948
63.0	296644.68165376
64.0	295636.876329693
65.0	294562.1500887055
66.0	294362.90162096045
67.0	295051.8537509463
68.0	295052.950705998
69.0	294763.2715568702
70.0	295471.189006763
71.0	295052.25858476793
72.0	295156.0175718921
73.0	295197.227751
74.0	294152.430527781
75.0	293846.3826755228
76.0	293152.8742236766
77.0	292547.0818935932
78.0	292111.21796077734
79.0	292989.11960927595
80.0	292617.3137279657
81.0	291167.2430317084
82.0	290375.6524308176
83.0	288653.9871663073
84.0	285015.82704661496
85.0	280873.1145343522
86.0	276176.9222558865
87.0	270359.6998751623
88.0	261397.341476939
89.0	250149.24024356087
90.0	236312.5434076977
91.0	219238.01599508576
92.0	201363.3997201827
93.0	181324.63056159337
94.0	160171.79469546655
95.0	134825.82249740156
96.0	107529.96499446737
97.0	77239.01691165837
98.0	46254.37258475432
99.0	14517.30395248865
