#Transcript position	Transcript coverage profile
0.0	28986.09108560161
1.0	31904.0366872268
2.0	35920.7254282511
3.0	40010.11963048776
4.0	44048.43138548784
5.0	48005.057954967815
6.0	51465.275692144496
7.0	53338.25267120099
8.0	55111.4057736265
9.0	57491.42710685009
10.0	59616.885298745015
11.0	60082.30708947667
12.0	61735.47861935745
13.0	63325.698194944845
14.0	63844.32089187262
15.0	64703.88171754945
16.0	65612.82375693801
17.0	65774.55147813633
18.0	66081.11767856767
19.0	65994.82124625589
20.0	67902.529529682
21.0	67663.9299187792
22.0	68295.12906985679
23.0	68358.55794789238
24.0	69197.13347201006
25.0	69721.44855328344
26.0	70675.28431546035
27.0	71282.19353111381
28.0	71453.98386687964
29.0	71941.20641198881
30.0	72132.49491843657
31.0	72239.21865976577
32.0	73111.35652712794
33.0	72861.14231352432
34.0	73047.99549539911
35.0	73519.45140336637
36.0	73256.28913339211
37.0	72968.30029967656
38.0	73329.63713654997
39.0	74668.26328445358
40.0	75959.35484065404
41.0	76024.43851022188
42.0	76301.98399365932
43.0	76533.48867828024
44.0	76368.58944773227
45.0	76510.95510410523
46.0	76570.21596533529
47.0	75539.86142537226
48.0	75111.70626553113
49.0	75136.15628505344
50.0	75025.56587781204
51.0	74621.92243252778
52.0	74042.35714885077
53.0	74046.52945075928
54.0	73525.61388119616
55.0	72616.16895504996
56.0	71199.0737424916
57.0	70110.98191792662
58.0	70002.31197221366
59.0	70138.72523982324
60.0	68808.61416833318
61.0	68805.09531971364
62.0	69119.88770556149
63.0	68776.89889197424
64.0	67522.06726668704
65.0	66813.87374870783
66.0	66990.894630591
67.0	67155.82790406416
68.0	66011.6952538041
69.0	64798.11459917098
70.0	65337.27357407738
71.0	64173.536480667564
72.0	62633.633557003974
73.0	61454.567008477185
74.0	60166.77510674235
75.0	58798.91299376749
76.0	57046.92272980732
77.0	55866.22558394228
78.0	55210.93638283981
79.0	54684.420065206694
80.0	54166.768765610104
81.0	53197.140653717244
82.0	52135.807929788534
83.0	51385.26417240508
84.0	49328.47640061912
85.0	47772.724035041945
86.0	46788.464745407684
87.0	45360.96631788513
88.0	43235.09654620788
89.0	40757.01095299354
90.0	38195.63364679857
91.0	34057.65480068441
92.0	29796.11708004139
93.0	24912.13980846976
94.0	21721.263912326787
95.0	17417.301219575253
96.0	12641.911628803966
97.0	8539.564030960048
98.0	4490.41216264151
99.0	990.2928868332134
