#Transcript position	Transcript coverage profile
0.0	29133.52765018529
1.0	33019.35494912183
2.0	37496.74353483489
3.0	41156.869122994554
4.0	44459.70266788832
5.0	47889.27929422776
6.0	51301.97897014584
7.0	53727.6716234731
8.0	55358.22517007351
9.0	57754.10568917034
10.0	59589.68334731273
11.0	59834.68606492444
12.0	60906.97700470177
13.0	62197.2772549076
14.0	62784.17889449319
15.0	63814.644534405255
16.0	64193.22792310573
17.0	64809.89397464014
18.0	65505.704275201606
19.0	65363.90395499113
20.0	66740.28156643729
21.0	66494.58711416324
22.0	67482.08010048234
23.0	67205.32409813779
24.0	67741.56392109208
25.0	69062.51899643082
26.0	69128.5575172301
27.0	69969.44618297662
28.0	69882.26918631882
29.0	70177.51714866747
30.0	70189.44089965725
31.0	70030.57174711397
32.0	70881.8039849568
33.0	70574.44795167194
34.0	70465.70970537528
35.0	71009.71953447312
36.0	70792.58505884229
37.0	70634.29620078982
38.0	71151.55654515667
39.0	72298.7211303713
40.0	73949.35239195463
41.0	73553.96769317449
42.0	73085.4458635365
43.0	72993.11957135762
44.0	72560.32769042459
45.0	72406.92255564209
46.0	72283.45412572379
47.0	71047.21470789824
48.0	70599.66940425617
49.0	70432.95020127224
50.0	69843.3521407354
51.0	70098.30618008185
52.0	69864.65303861638
53.0	70068.1846958333
54.0	69839.41277234851
55.0	68378.25866347115
56.0	67190.1851525678
57.0	66312.0302678883
58.0	66313.28065623181
59.0	66546.12787519807
60.0	65323.87258425081
61.0	65027.96158570839
62.0	65419.61543443317
63.0	65292.52844560347
64.0	64889.71445561858
65.0	64433.50300954262
66.0	64740.11661774193
67.0	65139.64014066041
68.0	64586.30725231286
69.0	63471.44026749161
70.0	63929.317778179124
71.0	63027.95919761136
72.0	62287.03286653301
73.0	60762.111228748385
74.0	59331.76795157095
75.0	58146.06606676223
76.0	56599.52267665007
77.0	55570.06173069011
78.0	54643.96880829754
79.0	53963.71292018806
80.0	53341.77309795574
81.0	51953.13603330416
82.0	51276.70362288894
83.0	50507.787902054275
84.0	48781.49833168853
85.0	47639.17498357529
86.0	47247.54926670939
87.0	45932.361176290004
88.0	43544.00867884581
89.0	41015.48556893924
90.0	38218.140191564504
91.0	33698.576189758576
92.0	29331.68128649442
93.0	24371.034717167156
94.0	21090.244114944297
95.0	17327.963581802294
96.0	12819.99693179002
97.0	8724.06012170375
98.0	4970.396575995794
99.0	877.1489827498515
