#Transcript position	Transcript coverage profile
0.0	192469.59307831313
1.0	206756.3232308702
2.0	221491.25861455197
3.0	233362.9110011711
4.0	244646.55592711328
5.0	254877.75796109714
6.0	263403.39994897647
7.0	270357.4608148495
8.0	275902.8768595447
9.0	281865.76540440536
10.0	285809.9350299563
11.0	287880.3451531558
12.0	290921.8671544145
13.0	294369.9359712586
14.0	294966.1677516922
15.0	297085.052431532
16.0	298493.74334133277
17.0	300126.3345934868
18.0	301882.8532718481
19.0	302255.63233307796
20.0	304259.665372283
21.0	304324.2025674524
22.0	304726.55370233936
23.0	304356.44876370515
24.0	304978.4219852589
25.0	306283.7015970484
26.0	307187.54125124123
27.0	307085.2193196311
28.0	306145.4322967788
29.0	305771.0249747872
30.0	305230.6987609827
31.0	304548.5448131801
32.0	304113.0836782652
33.0	302710.9196718453
34.0	301514.99633689644
35.0	301627.4246260975
36.0	301295.4559637
37.0	300952.9724316653
38.0	301483.45110335096
39.0	302675.3602833745
40.0	304796.95560830855
41.0	303873.07648312784
42.0	302661.6892284271
43.0	302027.5978721454
44.0	301560.9795463463
45.0	301572.81129091117
46.0	301461.30471192684
47.0	300364.46747958346
48.0	300117.54882664426
49.0	300388.7144197775
50.0	299538.81994159496
51.0	300399.6394077807
52.0	299799.4849307468
53.0	299194.80859362846
54.0	299281.79134301265
55.0	298197.6491981841
56.0	296383.2049205928
57.0	295054.21777738223
58.0	295010.34009382094
59.0	295446.3744803134
60.0	294740.68754919607
61.0	294281.81602923054
62.0	295015.16263345856
63.0	295519.03293650394
64.0	294889.8069907694
65.0	294274.1020481685
66.0	294488.612727937
67.0	295411.6258781067
68.0	295599.6176686979
69.0	295065.0458822413
70.0	295727.73145409004
71.0	295387.3134101974
72.0	295290.2516048857
73.0	294740.5422205954
74.0	293325.17261004617
75.0	292719.09760722256
76.0	291629.07702332205
77.0	290974.33342323574
78.0	289939.84955452586
79.0	290059.79063013504
80.0	289785.30200967286
81.0	287818.7486048365
82.0	286916.6443540739
83.0	284857.67462374264
84.0	280722.1188954253
85.0	277007.9830059355
86.0	273005.01303737675
87.0	268007.8418917671
88.0	259033.99662858935
89.0	248293.88021971995
90.0	235039.86029774253
91.0	217953.51882823594
92.0	200747.88406612852
93.0	180849.66453547313
94.0	160590.15518916264
95.0	136212.27655976216
96.0	108252.78669868254
97.0	78224.10997046746
98.0	46911.307862014175
99.0	14430.494763485467
