"Subsystem"	"AML"	"breast"	"head.and.neck"	"kidney"	"liver"	"lung"	"prostate"
"Transport_reactions"	0	6.38226375811484	0	0	0	0	0
"Arginine_and_proline_metabolism"	0	-6.96722625883599	0	6.38226375811484	5.57490883605723	0	5.44366430277898
"Folate_metabolism"	-7.96722625883599	0	0	0	0	0	0
"Exchange/demand_reactions"	0	-6.79730125739368	0	0	0	0	0
"Fatty_acid_oxidation"	0	5.71929874539241	0	0	0	0	0
"Drug_metabolism"	0	4.44366430277898	0	0	0	0	0
"Purine_metabolism"	-9.96722625883599	-7.15987133677839	0	6.5077946401987	0	0	0
"Lysine_metabolism"	0	0	7.15987133677839	9.96722625883599	0	0	0
"Bile_acid_biosynthesis"	0	0	6.38226375811484	0	0	0	0
"Beta_oxidation_of_even-chain_fatty_acids_(peroxisomal)"	0	0	4.75777289320704	0	0	0	0
"Cysteine_and_methionine_metabolism"	0	0	0	0	0	0	4.75777289320704
"Carnitine_shuttle_(peroxisomal)"	0	0	7.38226375811484	0	0	0	0
"Glycine,_serine_and_threonine_metabolism"	6.15987133677839	0	0	0	6.96722625883599	0	-6.64529816394863
"Glycolysis/Gluconeogenesis"	-9.96722625883599	-9.96722625883599	-9.96722625883599	0	9.96722625883599	-9.96722625883599	0
"Histidine_metabolism"	-9.96722625883599	-7.64529816394863	-9.96722625883599	5.38226375811484	-8.96722625883599	-9.96722625883599	8.38226375811484
"Pyruvate_metabolism"	0	0	-5.57490883605723	-8.38226375811484	-4.44366430277898	7.15987133677839	0
"Tricarboxylic_acid_cycle_and_glyoxylate/dicarboxylate_metabolism"	-9.96722625883599	-9.96722625883599	0	9.96722625883599	9.96722625883599	4.83794324189103	-9.96722625883599
"Miscellaneous"	0	-9.96722625883599	0	6.79730125739368	0	4.5409615041339	-6.2667865406949
"Pentose_phosphate_pathway"	0	-6.96722625883599	0	0	0	0	0
"Tryptophan_metabolism"	4.47537316250632	5.96722625883599	0	0	0	0	-5.06033566322747
"Alanine,_aspartate_and_glutamate_metabolism"	5.5077946401987	0	7.15987133677839	0	-4.71929874539241	0	0
"ROS_detoxification"	0	0	0	0	0	0	4.92283213947754
"Terpenoid_backbone_biosynthesis"	4.5077946401987	0	0	0	0	0	0
"Pentose_and_glucuronate_interconversions"	0	-9.96722625883599	0	0	0	0	0
"Cholesterol_biosynthesis_2"	4.35251641472079	0	0	0	0	0	0
"CoA_synthesis"	0	0	0	-4.35251641472079	0	0	-4.41263740715836
"Fructose_and_mannose_metabolism"	0	0	0	0	8.96722625883599	0	0
"Oxidative_phosphorylation"	-7.96722625883599	0	0	-4.64529816394863	6.15987133677839	5.32337006906127	0
