	fastcore_M12.3.16.CCs_4	fastcore_M12.3.16.CSCs_2	fastcore_M4.2.10.CSCs_3	fastcore_M4.2.7.CCs_1	fastcore_M4.2.7.CCs_2	fastcore_M4.2.7.CSCs_1	fastcore_M4.2.7.CSCs_2
10FTHFtm	(0, 0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(0, 0)	(0, 0)
11DOCRTSLte	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
11DOCRTSTRNte	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
12DHCHOLabc	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
12DHCHOLt	(-1000.0, 1000.0)	(0, 0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
12DHCHOLt2	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0, 0)	(0.0, 1000.0)	(0, 0)
12HARACHDte	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
12HARACHDtr	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
12HPETATP	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
12HPETUPKt	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
12HTACRhr	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0, 0)	(0.0, 1000.0)
12HTACRitr	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(0, 0)	(0, 0)	(-1000.0, 1000.0)
12HTACRtep	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(0, 0)	(0, 0)	(-1000.0, 1000.0)
12HTACRtu	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
12PPDRte	(0, 0)	(0, 0)	(-1000.0, 1000.0)	(0, 0)	(0, 0)	(0, 0)	(-1000.0, 1000.0)
1331TAALThr	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
1331TACRhr	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
1331TACRteb	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
1331TACRtev	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
13DAMPPOX	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
13DAMPPte	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
13DMThr	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
13DMTitr	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
13DMTtep	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
13DMTtu	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
13HTACRitr	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
13_CIS_RETNte	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
14HMDZALThr	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0, 0)	(0.0, 1000.0)
14HMDZhr	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0, 0)	(0.0, 1000.0)
14HMDZitr	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(0, 0)	(0, 0)	(-1000.0, 1000.0)
14MDZtev	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(0, 0)	(0, 0)	(-1000.0, 1000.0)
1513DTACRhr	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
1513DTALThr	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
1513TACRitr	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
1513TACRtep	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
1513TACRtu	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
1531TACRhr	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
1531TACRitr	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
1531TACRteb	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
1531TACRtev	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
1531TALThr	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
15DMThr	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
15DMTitr	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
15DMTtep	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
15DMTtu	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
15HPETATP	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
15HPETUPKt	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)
15KPROSTGF2c	(-1000.0, 1000.0)	(0, 0)	(0, 0)	(-1000.0, 1000.0)	(0, 0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
15KPROSTGF2t	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(-1000.0, 1000.0)	(0, 0)
17AHPRGNLONEte	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
17AHPRGSTRNte	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
18HARACHDte	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
18HARACHDtr	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
1A25DHVITD3t2e	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0, 0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)
1A25DHVITD3te	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
1A25HVITD2t	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(0, 0)	(0, 0)	(-1000.0, 1000.0)	(0, 0)	(-1000.0, 1000.0)
1A25HVITD2tm	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
1HIBUPGLUC_Sthv	(-1000.0, 1000.0)	(0, 0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(0, 0)	(0, 0)
1HIBUPGLUitr	(-1000.0, 1000.0)	(0, 0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(0, 0)	(0, 0)
1HIBUP_SGLUhep	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
1HIBUP_Sitr	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
1HIBUP_Sthv	(0, 0)	(-1000.0, 1000.0)	(0, 0)	(-1000.0, 1000.0)	(0, 0)	(0, 0)	(-1000.0, 1000.0)
1HMDGLUChr	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0, 0)	(0, 0)
1HMDGLUCitr	(-1000.0, 1000.0)	(0, 0)	(-1000.0, 1000.0)	(0, 0)	(-1000.0, 1000.0)	(0, 0)	(0, 0)
1HMDZGLUChc	(-1000.0, 1000.0)	(0, 0)	(-1000.0, 1000.0)	(0, 0)	(-1000.0, 1000.0)	(0, 0)	(0, 0)
1OHMDZhr	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0, 0)	(0.0, 1000.0)
1OHMDZitr	(-1000.0, 1000.0)	(0, 0)	(-1000.0, 1000.0)	(0, 0)	(-1000.0, 1000.0)	(0, 0)	(0, 0)
1OHMDZtep	(-1000.0, 1000.0)	(0, 0)	(-1000.0, 1000.0)	(0, 0)	(-1000.0, 1000.0)	(0, 0)	(0, 0)
21HPRGNLONE	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
21HPRGNLONEt1	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)	(0, 0)
