	M2.2.13.CCs_Hep3B	M2.2.13.CCs_Huh7	M2.2.13.CSCs_Hep3B	M2.2.13.CSCs_Huh7	M6.3.14.CCs_1	M6.3.14.CSCs_1	M8.2.3.CCs_1	M8.2.3.CCs_2	M8.2.3.CCs_3	M8.2.3.CSCs_1	M8.2.3.CSCs_2	M8.2.3.CSCs_3	M9.1.4.CCs_1	M9.1.4.CCs_2	M9.1.4.CCs_3	M9.1.4.CSCs_1_CXCR4+MET+CD44+	M9.1.4.CSCs_2_CXCR4+MET+CD44+	M9.1.4.CSCs_3_CXCR4+MET+CD44+	M13.2.11.CCs_UT33	M13.2.11.CSCs_UT33	R1.1.1.CCs_3	R1.1.1.CSCs_3	R4.10.2.CCs_3	R4.10.2.CSCs_3	R5.8.2.TN.CCs_HCC1937	R5.8.2.TN.CCs_SUM149PT	R5.8.2.TN.CSCs_HCC1937	R5.8.2.TN.CSCs_SUM149PT	R11.1.4.CCs_NCIH1703	R11.1.4.CSCs_NCIH1703	R12.5.4.CCs_2	R12.5.4.CCs_5	R12.5.4.CSCs_2	R12.5.4.CSCs_5
HMR_3905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_3907	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4137	0.0	0.0	0.0	0.0	0.0	0.0	5.016130840252045	1.8708908564941567	1.0038212163374283	0.0	0.0	0.0	0.0	0.0	4.403070176154834	0.0	0.0	0.0	0.0	5.762792554277709	0.0	98.8503160196203	0.0	0.0	0.0	0.0	0.0	0.0	66.84591916233354	22.313768859333592	54.988255223952805	0.0	5.762792554277703	0.0
HMR_4281	0.0161304547703972	0.0	0.0	0.012358962139558309	0.0	0.016130454770397155	0.016130454770397217	0.0	0.0	0.0	0.09041544384459493	0.0	0.0	0.0	0.0	0.016130454770395347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2242835490918607	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4388	809.4367215089878	1000.0	999.2954303747038	519.748876874876	491.2124896295536	611.2573651953278	956.813796542674	994.0058740032655	878.1868169228968	1000.0	986.868044590507	1000.0	1000.0	1000.0	1000.0	999.9838695452296	565.2999000009177	905.7132140878953	1000.0	0.0	-74.50563987955623	598.410998211588	0.0	0.0	-196.10750096385937	996.7757164509081	0.0	-0.09833436481591537	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4283	0.0	0.0	0.0	0.0	0.0	998.690868559419	0.0	0.0	0.0	0.0	0.0	0.0	560.228977147935	0.0	0.0	244.37199406193247	0.0	518.7952028827788	0.0	691.9198618632055	0.0	0.0	0.0	0.0	999.8224995923699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_8357	394.44968391596194	255.92281199375185	0.0	999.1119964398324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	438.4640278211861	132.78382289111977	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4379	45.283778215718115	2.2042408205379216	399.95752950903056	0.0	0.0	0.0	500.83387052132	562.5651100363973	565.089964192466	0.0	33.24708870156485	15.429731044935949	84.79759313879882	73.6462834628449	0.0	84.46042077664065	301.52198080701424	84.76792072045632	417.6693631463721	187.0553075074376	0.0	0.0	2.204240820537923	0.3680573486728906	0.0	0.0	0.0	0.0	0.0	0.0	5.927828726520772	0.0	2.204240820537924	0.0
HMR_4301	0.0	0.0	0.0	64.93310476509043	74.316974690285	0.0	0.0	0.0	0.0	431.04735578024105	336.93471736270203	398.1975308483783	0.0	0.0	176.91907382963217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.65258772334536	0.0	0.0	0.0	0.0	20.50753255980888	47.431864460243474	0.0	0.0
HMR_4355	0.0	0.0	0.0	0.0	0.0	125.35974223241918	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	399.9833882681168	113.42053739406708	0.0	0.0	396.7227721806044	0.0	396.8734259131238	403.12256487703854	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4358	0.0	603.5260876998053	0.0	868.6669813952399	0.0	0.0	639.5428672683469	715.7304972486036	106.74099002403284	0.0	0.0	0.0	0.0	147.97398341648835	556.337460855762	488.7461925613928	227.98902635435337	1000.0	0.0	130.12795724752002	0.0	0.0	0.0	0.0	0.0	623.9914583329037	0.0	0.0	0.0	0.0	0.0	882.9313172233578	999.9674197520441	0.0
HMR_4360	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
