	M13.2.11.CCs_UT16A	M13.2.11.CCs_UT24A	M13.2.11.CSCs_UT16A	M13.2.11.CSCs_UT24A	M2.2.13.CCs_Hep3B	M2.2.13.CCs_Huh7	M2.2.13.CSCs_Hep3B	M2.2.13.CSCs_Huh7	M8.2.3.CCs_1	M8.2.3.CCs_2	M8.2.3.CCs_3	M8.2.3.CSCs_1	M8.2.3.CSCs_2	M8.2.3.CSCs_3	M9.1.4.CCs_2	M9.1.4.CSCs_2_CXCR4+MET+CD44+	R1.1.1.CCs_3	R1.1.1.CSCs_3	R11.1.4.CCs_ChaGoK1	R11.1.4.CSCs_ChaGoK1	R5.8.2.TN.CCs_HCC1937	R5.8.2.TN.CSCs_HCC1937
HMR_3905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_3907	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2877993225906506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4137	0.6198374810231826	0.6921325960074682	0.0	0.0	0.0	0.0	7.841160721497715	0.0	0.6260310312975434	2.3576863199700577	0.0	2.2376377034585553	0.0	0.0	0.0	0.07095574772233704	0.0	6.869279046287858	0.0	0.0	0.0	0.0
HMR_4281	0.0	0.6531290744545505	0.005188465504504957	388.331872869394	0.0	0.0	0.0	1.5601233098884677	2.5372020162813373	1.4923845769198847	215.08729827005243	0.0	0.023997925748867176	1.4554812378547979	1.9677214451421463	2.765831326010357	0.005141356701742971	0.6310955626162535	0.5380078696150243	2.290153544713141	0.0	1.5976074931758117
HMR_4388	1000.0	999.3468709255454	999.9948115344955	566.1390442885935	905.1522824074295	172.82178810049177	1000.0	998.4398766901115	998.0888290150162	998.5076154230801	784.9127017299476	799.0712655536528	355.587677883899	792.9474564507955	998.0372062458321	997.2341686739896	137.47417559547523	6.238183483671604	940.5294711172306	0.0	1000.0	0.0
HMR_4283	0.0	0.0002483047335739737	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_8357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4379	545.7674454195977	0.0	27.13676448823249	0.0	0.0	400.45336463435484	0.0	5.530267472202189	543.7357495352361	536.8731515836321	0.0	0.0	142.64020453772542	0.0	0.0	0.0	79.9537166998026	24.551336342012096	0.0	27.998388156619736	0.0	26.116764514400614
HMR_4301	0.0	545.8465984550719	0.0	545.860013322085	0.0	0.0	0.0	532.0000021230983	0.0	0.0	544.4235421567727	0.0	0.0	546.0787673694421	545.807257135795	636.1678808927178	0.0	0.0	541.5580931407926	0.0	0.0	0.0
HMR_4355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4358	726.8733733726108	262.3937704189949	0.0	986.971229445948	0.0	0.0	49.88408094586276	0.0	994.3599287741147	649.7021104138823	211.76907287476124	0.0	273.1277043457016	448.86810523956626	263.75024618451823	170.5730020332852	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4360	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4363	999.9823247908961	999.982310686778	0.0	999.9823035152031	252.45739705703116	999.9825408830484	849.1423361591993	999.9855144273523	999.9821776978728	999.985759732522	999.9828225125221	803.318166482339	356.22640876516476	999.9821825967217	999.9823156997342	999.9823088457111	0.0	0.0	999.9839504553476	0.0	999.9869365889823	0.0
HMR_4365	-999.9823247908961	-999.982310686778	0.0	-999.9823035152031	-252.45739705703116	-999.9825408830484	-849.1423361591993	-999.9855144273523	-999.9821776978728	-999.985759732522	-999.9828225125221	-803.318166482339	-356.22640876516476	-999.9821825967217	-999.9823156997342	-999.9823088457111	0.0	0.0	-999.9839504553476	0.0	-999.9869365889823	0.0
HMR_4368	999.9959433946319	999.9959401576211	0.0	999.995938511686	252.46159577204452	999.9959929895521	849.1498123835026	999.9966754423432	999.9959096355774	999.9967317418902	999.9960576258247	803.3279136669787	356.2306074801781	999.9959107599034	999.9959413081357	999.9959397350813	0.008001170631755386	0.007536598920069342	999.9963164979487	0.008217287136361048	999.9970018400943	0.0
HMR_4370	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4371	0.004056605368117659	0.004059842378813993	0.002405165179837268	0.004061488314060697	0.0012506810678077844	0.004007010447895715	0.0022269604307792747	0.0033245576568397437	0.004090364422641346	0.003268258109715866	0.003942374175248627	0.0029034167011837814	0.001250681067807777	0.004089240096674357	0.004058691864268041	0.004060264918765123	0.002383327422225008	0.0022449443591695912	0.0036835020513854328	0.0024477025512564823	0.002998159905705814	0.0024037010825629975
