	AML	breast	head and neck	kidney	liver	lung	prostate
HMR_3905	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_3907	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4097	0.0	0.0	0.0	0.0	0.1438996612953253	0.0	0.0
HMR_4099	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4108	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4133	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4137	-0.6260310312975434	0.0	-0.6559850385153254	0.07095574772233704	3.920580360748857	0.0	6.869279046287858
HMR_4281	-2.51320409053247	1.5976074931758115	193.84196613022195	0.798109880868211	0.7800616549442339	1.7521456750981166	0.6259542059145106
HMR_4388	-205.14137256422066	-1000.0	-216.6065075512281	-0.8030375718425375	460.2329030910952	-940.5294711172306	-131.23599211180363
HMR_4283	0.0	0.0	-0.00012415236678698684	0.0	0.0	0.0	0.0
HMR_8357	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4379	-536.8731515836321	26.11676451440061	-259.3153404656826	0.0	-197.46154858107633	27.998388156619736	-55.40238035779049
HMR_4301	0.0	0.0	0.006707433506562666	90.36062375692279	266.00000106154914	-541.5580931407926	0.0
HMR_4355	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4358	-376.5744060681806	0.0	-1.1479571728288533	-93.17724415123305	24.94204047293138	0.0	0.0
HMR_4360	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4363	-196.66465603018287	-999.9869365889824	-499.9911659812353	-6.854022899460688e-06	298.34395632323606	-999.9839504553476	0.0
HMR_4365	-196.66465603018287	-999.9869365889824	-499.9911659812353	-6.854022899460688e-06	298.34395632323606	-999.9839504553476	0.0
HMR_4368	-196.66814395884592	-999.9970018400943	-499.99797252028367	-1.573054532855167e-06	298.3444495321247	-999.9880992108124	-0.00046457171168604386
HMR_4370	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4371	-0.0010389574740648465	-0.0005944588231428169	-0.0008248971265168437	1.5730544970825669e-06	0.0001469132859577599	-0.0012357995001289505	-0.00013838306305541653
HMR_4372	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4373	-196.6691829163202	-999.9975962989174	-499.99879741741006	0.0	298.3445964454106	-999.9893350103124	-0.0006029547747414595
HMR_4375	-401.0776955592803	26.082809959617208	-259.3034479645237	90.36061386915173	68.54366563867114	-513.5519371016006	-55.40151052139416
HMR_4377	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4381	0.0	-3.5460664752332187	-296.10616467887286	-90.32216608612111	23.633425932198776	-568.6306088374249	41.42363276318285
HMR_4391	2.3433493382208326	-972.7830152594565	-259.02274993953966	90.42729759403869	186.9741012314346	-513.9505659174746	-55.36158700565832
HMR_4394	2.834972096130666	36.26314848293499	-289.92053255005226	-88.93021210464792	468.8618840777887	-115.16294754738456	54.235962992705794
HMR_4396	-0.7203157340345105	-32.27253951790172	5.4721408573884744	0.09174763069461278	36.131794754339985	-0.7499621153789493	8.12388069441846
HMR_4521	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_6410	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_6412	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_7745	-716.3642696246625	-744.5947203547253	0.0	0.0	0.0	0.0	0.0
HMR_7746	-716.3642696246625	0.0	0.0	0.0	0.0	0.0	0.0
HMR_7747	0.0	-744.5947203547253	0.0	0.0	0.0	0.0	0.0
HMR_7748	0.0	-873.8139274125496	0.0	0.0	0.0	0.0	0.0
HMR_7749	-716.3642696246625	129.2192070578243	0.0	0.0	0.0	0.0	0.0
HMR_8360	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_8757	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_3989	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4122	-0.0005086271646559436	-0.0002910204828084893	-0.00040383278148197876	7.700972067406844e-07	7.192221793343029e-05	-0.0006049922268469953	30.343505397992036
HMR_4837	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_5395	-1.5811130182896704e-11	-31.91178391275156	5.9727411521068206	0.09079300069377183	36.04263838330365	5.7209237347422e-12	-22.1357127631543
HMR_5396	-1.5811130182896704e-11	-31.91178391275156	5.9727411521068206	0.09079300069377183	36.04263838330365	5.7209237347422e-12	-22.1357127631543
HMR_9727	-0.6234665769908998	-0.3567279863504389	-0.4950113942844463	0.0009439721328323714	0.08816099387803478	-0.7415892405855813	-0.08304210402291345
HMR_5397	-1.5811130182896704e-11	-31.91178391275156	5.9727411521068206	0.09079300069377183	36.04263838330365	5.7209237347422e-12	-22.1357127631543
HMR_5398	-1.5811130182896704e-11	-31.91178391275156	5.9727411521068206	0.09079300069377183	36.04263838330365	5.7209237347422e-12	-22.1357127631543
HMR_5399	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_5400	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_5401	-1.5811130182896704e-11	-31.91178391275156	5.9727411521068206	0.09079300069377183	36.04263838330365	5.7209237347422e-12	-22.1357127631543
HMR_8568	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_8569	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_8570	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_8571	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_8572	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_8573	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_8574	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_8575	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_8576	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_8577	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_8578	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_8579	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_8581	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_8591	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_8592	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_8580	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_8582	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_8587	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_8589	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_8583	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_8584	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_8585	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_3944	-0.2214090833040545	-351.39037864541734	65.19955237845662	0.9996776376325727	396.93767518819914	-0.7499621153217366	-477.9139845172385
HMR_4128	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4130	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4131	0.0	0.0	0.0	0.0	-0.3794966008227536	0.0	264.680737580114
HMR_4132	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4303	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4414	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4415	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4416	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4774	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4775	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4831	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4832	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_7674	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_8761	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_8762	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_8764	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_8766	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_8767	0.0	0.0	0.0	0.0	-0.3794966008227536	0.0	264.680737580114
HMR_0454	0.0	0.0	0.0	0.0	6.810175936937655e-05	0.0	0.0
HMR_4297	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4315	0.0	0.0	0.0	0.0	342.8194937893272	0.0	0.0
HMR_4316	-43.202692726139624	-186.87470352928918	0.0	0.0	278.30455247086684	0.0	0.0
HMR_4319	0.0	0.0	0.0	0.0	342.8194937893272	0.0	0.0
HMR_4383	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4385	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4386	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4387	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4399	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4400	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4401	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4402	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4490	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4706	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_8768	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4590	0.0	-390.8865036869858	0.0	0.0	0.0	0.0	0.0
HMR_4591	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4592	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4593	0.0	-390.8865036869858	0.0	0.0	0.0	0.0	0.0
HMR_4595	0.0	-609.1134963130143	0.0	0.0	118.47902479281433	0.0	0.0
HMR_8341	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_8342	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_8344	0.0	-3.8778063933767464	0.13428866743179266	0.0	0.32452047343407076	0.0	0.0
HMR_8352	0.0	-390.8865036869858	0.0	0.0	0.0	0.0	0.0
HMR_8353	0.0	-390.8865036869858	0.0	0.0	0.0	0.0	0.0
HMR_8726	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_8727	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_8728	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_8729	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_6537	0.0	-387.00869729360903	0.0	0.0	0.0	0.0	0.0
HMR_1568	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_3853	0.0	0.0	0.0	0.0	0.0	0.0	0.004352783104422997
HMR_3854	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_3855	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_3857	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_3859	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4087	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4089	-331.7063602866108	-194.20073768073246	-541.0272173260679	-1000.0	53.37060532175411	998.3575980621048	28.08326201341771
HMR_4091	0.0	0.0	0.33041281538552353	0.0	0.0	0.0	0.0
HMR_4093	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4095	0.0	0.0	0.0	0.0	0.1438996612953253	0.0	0.0
HMR_4101	0.0	0.0	497.9765504110344	0.0	0.0	0.0	0.0
HMR_4103	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4143	0.0	0.0	0.0	-0.004927690974227517	0.0	0.0	0.0
HMR_4193	-0.6171541080684505	0.0	-0.0503433889708218	-0.022437267272809924	0.19114052121931024	-0.7805483964191007	0.0
HMR_8497	0.0	11.288529336584759	-250.5081138857887	0.0	21.53367470899127	0.0	240.9488590975157
HMR_8498	0.0	0.0	0.0005884109230009926	0.0	0.0	0.0	0.004352783168787511
HMR_8499	0.0	11.288529336584759	-250.5075254748657	0.0	21.53367470899127	0.0	240.95321188068453
HMR_8500	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_8501	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_8502	0.0	0.0	0.0005884109230009926	0.0	0.0	0.0	0.0
HMR_8503	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_8504	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_8506	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_8507	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_8508	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_8509	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_8511	0.0	0.0	0.0005884109230009926	0.0	0.0	0.0	0.004352783104422997
HMR_8512	0.0	0.0	0.0005884109230009926	0.0	0.0	0.0	0.004352783104422997
HMR_8514	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_8516	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_8517	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4280	0.0	0.0	22.764541421006246	-0.004927690974227517	-413.5891059497541	0.0	-855.6514040015352
HMR_0153	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_3212	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_3797	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_3800	-0.0039019793634678676	-0.004346245137717178	-0.0011969948425506517	0.005885912431635713	0.0016141427156270544	0.0	-0.003454960891418613
HMR_4105	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4106	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4107	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4282	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4331	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4459	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4460	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4464	0.0	0.0	0.0005884109230009926	0.0	0.0	0.0	0.004352783168787511
HMR_4497	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4741	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_8078	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_9803	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_9804	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_1434	-0.9869841203496992	0.0	0.5063982841523045	1.0164983893185442	0.0	-0.9221747785426008	0.0
HMR_1436	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_3163	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4461	0.0	0.0	0.0	0.0	0.0	0.0	0.0
