	Subsystem
HMR_5930	Transport_reactions
3HCINNMup	Transport_reactions
PCHOLN15_HSt1e	Transport_reactions
HMR_4520	Purine_metabolism
HMR_0765	Sphingolipid_metabolism
HMR_6520	Cysteine_and_methionine_metabolism
HMR_3752	Glycine,_serine_and_threonine_metabolism
HMR_2999	Fatty_acid_activation_(endoplasmic_reticular)
HMR_0605	Acylglycerides_metabolism
HMR_7888	Nucleotide_metabolism
HMR_7615	Ether_lipid_metabolism
HMR_3947	Transport_reactions
HMR_8443	Nucleotide_metabolism
HMR_8223	Transport_reactions
GTACMPitr	Drug_metabolism
HMR_4496	Purine_metabolism
HMR_5299	Pyrimidine_metabolism
HMR_9229	Exchange/demand_reactions
56DURAtd	Transport_reactions
HMR_7481	Keratan_sulfate_biosynthesis
EX_retfa[e]	Exchange/demand_reactions
HMR_8725	Vitamin_B6_metabolism
PE12_HSABCt	Transport_reactions
HMR_3517	Transport_reactions
WHARACHDtd	Transport_reactions
HMR_0924	Glycosphingolipid_metabolism
PNTOte	Transport_reactions
HMR_3222	Beta_oxidation_of_unsaturated_fatty_acids_(n-9)_(mitochondrial)
HMR_2033	Estrogen_metabolism
C02712te	Transport_reactions
HMR_2000	Glucocorticoid_biosynthesis
FAOXC123m	Fatty_acid_oxidation
HMR_5234	Pool_reactions
HMR_7133	Metabolism_of_other_amino_acids
LSTNtd	Drug_metabolism
DCA24Gte	Transport_reactions
HMR_3806	Arginine_and_proline_metabolism
HMR_4348	Glycine,_serine_and_threonine_metabolism
HMR_4135	Purine_metabolism
TRPPHEt	Transport_reactions
HMR_8381	Glycosylphosphatidylinositol_(GPI)-anchor_biosynthesis
HMR_0174	Fatty_acid_activation_(cytosolic)
FAOXC2242046x	Fatty_acid_oxidation
AICARte	Transport_reactions
ARGALATHRr	Peptide_metabolism
HMR_2401	Omega-6_fatty_acid_metabolism
GA1tl	Transport_reactions
SERARGALAt	Transport_reactions
HMR_0937	Arachidonic_acid_metabolism
HMR_7239	Heparan_sulfate_degradation
HMR_6524	Transport_reactions
EX_thrphearg[e]	Exchange/demand_reactions
PHETYRGLNr	Peptide_metabolism
r0735	Fatty_acid_oxidation
HMR_4087	Pyruvate_metabolism
HMR_3277	Beta_oxidation_of_di-unsaturated_fatty_acids_(n-6)_(mitochondrial)
DESAT22_1p	Fatty_acid_biosynthesis
HMR_5686	Transport_reactions
EX_crvsm23[e]	Exchange/demand_reactions
HMR_1013	Arachidonic_acid_metabolism
XTSNtr	Transport_reactions
HMR_4243	Phenylalanine,_tyrosine_and_tryptophan_biosynthesis
HMR_7959	Steroid_metabolism
HMR_7848	Transport_reactions
HMR_0289	Fatty_acid_activation_(cytosolic)
6BHGLZtev	Drug_metabolism
FACOAL40im	Fatty_acid_oxidation
HMR_2482	Omega-3_fatty_acid_metabolism
HMR_7622	Protein_modification
ATVLAChr	Drug_metabolism
IBUPGLUCitr	Drug_metabolism
HMR_2640	Carnitine_shuttle_(mitochondrial)
HMR_9048	Exchange/demand_reactions
HMR_7275	N-glycan_metabolism
HMR_2239	Fatty_acid_biosynthesis_(odd-chain)
HMR_8562	Transport_reactions
HMR_0629	Glycerophospholipid_metabolism
HMR_2262	Fatty_acid_elongation_(odd-chain)
HMR_4953	Transport_reactions
PROCYSt	Transport_reactions
HMR_2247	Fatty_acid_biosynthesis_(odd-chain)
HMR_1877	Bile_acid_recycling
HMR_0497	Glycerolipid_metabolism
HMR_9634	Transport_reactions
HMR_0011	Pool_reactions
EX_HC01943[e]	Exchange/demand_reactions
HMR_0172	Transport_reactions
HMR_4331	Propanoate_metabolism
HMR_4945	Transport_reactions
CAPROICc	Fatty_acid_oxidation
HMR_3979	Oxidative_phosphorylation
HMR_7346	Keratan_sulfate_biosynthesis
DOPAENT4tc	Transport_reactions
HMR_2906	Carnitine_shuttle_(endoplasmic_reticular)
PROSTGE2t2r	Transport_reactions
HMR_8023	Transport_reactions
7BHGLZhr	Drug_metabolism
HMR_3935	Tyrosine_metabolism
HMR_8189	Sphingolipid_metabolism
HMR_7576	N-glycan_metabolism
HMR_8896	Transport_reactions
HMR_1436	Butanoate_metabolism
HMR_4048	Purine_metabolism
HMR_8401	Glycosylphosphatidylinositol_(GPI)-anchor_biosynthesis
SMSn	Sphingolipid_metabolism
ILEB0AT3tc	Transport_reactions
HMR_7892	Nucleotide_metabolism
HMR_5861	Transport_reactions
HMR_4512	Pyrimidine_metabolism
LANOSTte	Transport_reactions
HMR_2309	Fatty_acid_biosynthesis_(unsaturated)
HMR_1335	Prostaglandin_biosynthesis
HMR_8130	Folate_metabolism
GRTTx	Cholesterol_metabolism
HMR_8913	Transport_reactions
HMR_1210	Leukotriene_metabolism
HMR_7587	N-glycan_metabolism
HMR_4464	Propanoate_metabolism
HMR_6935	Arginine_and_proline_metabolism
HMR_8370	Transport_reactions
EX_C05767[e]	Exchange/demand_reactions
FAOXC2252053m	Fatty_acid_oxidation
HMR_9461	Exchange/demand_reactions
HMR_1064	Arachidonic_acid_metabolism
HMR_0673	Glycerolipid_metabolism
HMR_8352	Pentose_and_glucuronate_interconversions
HMR_9370	Exchange/demand_reactions
HMR_8159	Sphingolipid_metabolism
HMR_1540	Cholesterol_biosynthesis_3_(Kandustch-Russell_pathway)
r0757	Miscellaneous
3OHGLUTACte	Transport_reactions
HMR_3701	Formation_and_hydrolysis_of_cholesterol_esters
EX_hexc[e]	Exchange/demand_reactions
HMR_3201	Beta_oxidation_of_odd-chain_fatty_acids_(mitochondrial)
HMR_0413	Fatty_acid_activation_(cytosolic)
HMR_4239	Lysine_metabolism
2M3OVCOAm	Propanoate_metabolism
HMR_2054	Estrogen_metabolism
HMR_10124	Bile_acid_biosynthesis
FAOXC102C81m	Fatty_acid_oxidation
HMR_1066	Arachidonic_acid_metabolism
HMR_0435	Transport_reactions
HMR_3206	Valine,_leucine,_and_isoleucine_metabolism
HMR_4174	Beta-alanine_metabolism
HTDCRNe	Fatty_acid_oxidation
GLUILELYSr	Peptide_metabolism
HMR_5637	Transport_reactions
HMR_4460	Propanoate_metabolism
HMR_5490	Transport_reactions
RE1516X	Fatty_acid_oxidation
EX_lysvalphe[e]	Exchange/demand_reactions
ARGPROMETt	Transport_reactions
FAOXC16OHC16r	Fatty_acid_oxidation
EX_3dhdchol[e]	Exchange/demand_reactions
HMR_0375	Transport_reactions
HMR_3365	Beta_oxidation_of_unsaturated_fatty_acids_(n-9)_(peroxisomal)
HMR_8283	Transport_reactions
HMR_3855	Pyruvate_metabolism
CRVSM31itr	Drug_metabolism
DHCHOLESTANATEt	Transport_reactions
FAEL183	Fatty_acid_biosynthesis
HMR_5267	Protein_degradation
HMR_3433	Beta_oxidation_of_even-chain_fatty_acids_(mitochondrial)
C02592tx	Transport_reactions
HMR_4561	Serotonin_and_melatonin_biosynthesis
HMR_7529	Chondroitin_sulfate_degradation
HMR_5812	Transport_reactions
EX_HC02192[e]	Exchange/demand_reactions
HMR_10094	Bile_acid_biosynthesis
HMR_1685	Bile_acid_biosynthesis
C10CRNe	Fatty_acid_oxidation
HMR_4340	Folate_metabolism
AM1C9CShr	Drug_metabolism
EX_serargala[e]	Exchange/demand_reactions
HMR_5639	Transport_reactions
HMR_1142	Leukotriene_metabolism
HMR_2748	Carnitine_shuttle_(mitochondrial)
HMR_5443	Transport_reactions
HMR_8001	Transport_reactions
HMR_0367	Transport_reactions
LYSPHEILEt	Transport_reactions
HMR_0324	Acyl-CoA_hydrolysis
HMR_3458	Omega-6_fatty_acid_metabolism
HMR_4600	Purine_metabolism
