0
init_AllGenes_local1_2_nan_4.0_minsum, feasibility: optimal, objective_value: 0.0
fastcore_AllGenes_local1_1_nan_4.0_minsum, feasibility: optimal, objective_value: 0.0
fastcore_MetbGenes_local1_1_nan_4.0_minsum, feasibility: optimal, objective_value: 0.0
fastcore_AllGenes_local1_0_nan_4.0_minsum, feasibility: optimal, objective_value: 0.0
fastcore_AllGenes_local1_3_nan_4.0_minsum, feasibility: optimal, objective_value: 0.0
init_MetbGenes_local1B_2_nan_4.0_minsum, feasibility: optimal, objective_value: 0.0
fastcore_AllGenes_local1B_1_nan_4.0_minsum, feasibility: optimal, objective_value: 0.0
fastcore_AllGenes_local1B_0_nan_4.0_minsum, feasibility: optimal, objective_value: 0.0
init_MetbGenes_local1B_1_nan_4.0_minsum, feasibility: optimal, objective_value: 0.0
init_MetbGenes_local1_0_nan_4.0_minsum, feasibility: optimal, objective_value: 0.0
fastcore_MetbGenes_local1B_2_nan_4.0_minsum, feasibility: optimal, objective_value: 0.0
init_MetbGenes_local1B_0_nan_3.0_minsum, feasibility: optimal, objective_value: 0.0
fastcore_AllGenes_local1_4_nan_4.0_minsum, feasibility: optimal, objective_value: 0.0
init_AllGenes_local1_0_nan_4.0_minsum, feasibility: optimal, objective_value: 0.0
init_MetbGenes_local1B_0_nan_4.0_minsum, feasibility: optimal, objective_value: 0.0
init_AllGenes_local1_0_nan_3.0_minsum, feasibility: optimal, objective_value: 0.0
fastcore_MetbGenes_local1_2_nan_4.0_minsum, feasibility: optimal, objective_value: 0.0
init_AllGenes_local1B_1_nan_3.0_minsum, feasibility: optimal, objective_value: 0.0
init_AllGenes_local1B_0_nan_3.0_minsum, feasibility: optimal, objective_value: 0.0
fastcore_AllGenes_local1_2_nan_4.0_minsum, feasibility: optimal, objective_value: 0.0
init_MetbGenes_local1_1_nan_4.0_minsum, feasibility: optimal, objective_value: 0.0
init_AllGenes_local1B_0_nan_4.0_minsum, feasibility: optimal, objective_value: 0.0
init_AllGenes_local1_1_nan_4.0_minsum, feasibility: optimal, objective_value: 0.0
init_AllGenes_local1B_1_nan_4.0_minsum, feasibility: optimal, objective_value: 0.0
fastcore_MetbGenes_local1B_1_nan_4.0_minsum, feasibility: optimal, objective_value: 0.0
fastcore_MetbGenes_local1_0_nan_4.0_minsum, feasibility: optimal, objective_value: 0.0
init_AllGenes_local1_4_nan_4.0_minsum, feasibility: optimal, objective_value: 0.0
init_AllGenes_local1_3_nan_4.0_minsum, feasibility: optimal, objective_value: 0.0
fastcore_MetbGenes_local1B_0_nan_4.0_minsum, feasibility: optimal, objective_value: 0.0
init_AllGenes_local1_1_nan_3.0_minsum, feasibility: optimal, objective_value: 0.0
init_MetbGenes_local1_2_nan_4.0_minsum, feasibility: optimal, objective_value: 0.0
